PHYS3000, 10, [], []
MECH2000, 10, [], []
MECH3010, 85, [s10003 s10005 s10007 s100010 s100012 s100019 s100022 s100026 s100043 s100047 s100050 s100051 s100078 s100079 s100080 s100085 s100094 s1000110 s1000113 s1000116 s1000123 s1000126 s1000134 s1000137 s1000139 s1000141 s1000147 s1000149 s1000168 s1000169 s1000205 s1000206 s1000208 s1000215 s1000217 s1000233 s1000234 s1000248 s1000254 s1000257 s1000258 s1000264 s1000268 s1000269 s1000270 s1000285 s1000290 s1000294 s1000298 s1000308 s1000311 s1000318 s1000321 s1000332 s1000335 s1000338 s1000341 s1000343 s1000344 s1000352 s1000356 s1000363 s1000364 s1000365 s1000375 s1000402 s1000408 s1000425 s1000428 s1000429 s1000440 s1000456 s1000459 s1000461 s1000463 s1000469 s1000475 s1000477 s1000478 s1000481 s1000482 s1000484 s1000490 s1000492 s1000500], [s100011 s100025 s100030 s100055 s100059 s100071 s100098 s1000105 s1000132 s1000143 s1000153 s1000156 s1000159 s1000164 s1000179 s1000194 s1000202 s1000252 s1000275 s1000277 s1000279 s1000297 s1000312 s1000339 s1000342 s1000360 s1000361 s1000366 s1000369 s1000383 s1000387 s1000395 s1000409 s1000413 s1000414 s1000426 s1000431 s1000432 s1000453 s1000454 s1000466 s1000470 s10001 s100021 s100036 s100063 s100087 s100095 s1000129 s1000150 s1000154 s1000181 s1000209 s1000236 s1000246 s1000251 s1000255 s1000276 s1000281 s1000282 s1000284 s1000291 s1000348 s1000405 s1000420 s1000444 s1000465 s1000488 s100039 s1000114 s1000185 s1000260 s1000262 s1000283 s1000300 s1000313 s1000372 s1000411 s1000419 s100015 s100037 s100066 s1000100 s1000121 s1000144 s1000171 s1000286 s1000322 s1000472 s1000227 s1000449 s1000497]
ISDN3000, 96, [s10001 s10002 s10003 s100017 s100020 s100029 s100033 s100034 s100035 s100042 s100057 s100061 s100063 s100076 s100078 s100079 s100085 s100088 s100093 s1000101 s1000104 s1000105 s1000111 s1000116 s1000119 s1000124 s1000129 s1000132 s1000141 s1000150 s1000159 s1000163 s1000167 s1000170 s1000173 s1000181 s1000183 s1000193 s1000195 s1000203 s1000214 s1000218 s1000223 s1000227 s1000234 s1000237 s1000239 s1000241 s1000242 s1000245 s1000246 s1000251 s1000253 s1000255 s1000264 s1000271 s1000273 s1000276 s1000281 s1000282 s1000285 s1000287 s1000300 s1000306 s1000310 s1000312 s1000320 s1000324 s1000328 s1000337 s1000340 s1000349 s1000361 s1000365 s1000366 s1000372 s1000374 s1000378 s1000383 s1000385 s1000389 s1000399 s1000400 s1000401 s1000407 s1000410 s1000412 s1000423 s1000424 s1000432 s1000438 s1000448 s1000462 s1000482 s1000486 s1000492], [s100046 s100050 s100068 s100087 s1000108 s1000146 s1000149 s1000151 s1000160 s1000175 s1000185 s1000200 s1000208 s1000215 s1000224 s1000225 s1000236 s1000263 s1000283 s1000288 s1000290 s1000318 s1000327 s1000393 s1000419 s1000429 s1000443 s1000444 s1000445 s1000452 s1000455 s1000472 s1000476 s1000478 s1000484 s1000485 s1000489 s1000491 s1000496 s10008 s100071 s100083 s100098 s100099 s1000100 s1000115 s1000120 s1000121 s1000138 s1000156 s1000157 s1000164 s1000169 s1000194 s1000206 s1000231 s1000269 s1000286 s1000307 s1000332 s1000343 s1000345 s1000354 s1000360 s1000368 s1000373 s1000379 s1000390 s1000391 s1000394 s1000421 s1000425 s1000431 s1000441 s1000449 s1000451 s1000460 s1000475 s100073 s100090 s1000122 s1000144 s1000199 s1000212 s1000270 s1000278 s1000291 s1000305 s1000334 s1000348 s1000356 s1000405 s1000436 s1000463 s1000466 s1000467 s1000497 s100059 s1000103 s1000166 s1000190 s1000230 s1000244 s1000297 s1000298 s1000302 s100037 s1000153 s1000171]
ISDN2010, 10, [], []
PHYS2011, 10, [], []
BIEN2010, 82, [s100015 s100018 s100019 s100028 s100029 s100030 s100048 s100053 s100059 s100070 s100086 s100087 s100099 s1000122 s1000131 s1000145 s1000147 s1000157 s1000169 s1000170 s1000172 s1000175 s1000188 s1000190 s1000191 s1000194 s1000196 s1000210 s1000213 s1000214 s1000221 s1000225 s1000229 s1000242 s1000252 s1000258 s1000259 s1000260 s1000267 s1000276 s1000289 s1000292 s1000297 s1000306 s1000310 s1000316 s1000317 s1000325 s1000329 s1000332 s1000333 s1000335 s1000336 s1000337 s1000347 s1000348 s1000353 s1000354 s1000359 s1000373 s1000376 s1000378 s1000407 s1000411 s1000416 s1000421 s1000425 s1000430 s1000436 s1000441 s1000443 s1000445 s1000447 s1000449 s1000467 s1000468 s1000469 s1000472 s1000485 s1000487 s1000496 s1000497], [s10001 s10002 s10008 s100037 s100073 s100077 s100083 s100084 s1000103 s1000112 s1000115 s1000125 s1000127 s1000129 s1000155 s1000163 s1000166 s1000182 s1000189 s1000205 s1000209 s1000227 s1000230 s1000233 s1000239 s1000250 s1000264 s1000299 s1000313 s1000323 s1000379 s1000402 s1000405 s1000424 s1000428 s1000446 s1000475 s1000486 s1000488 s10005 s100014 s100069 s100079 s100082 s100096 s1000105 s1000108 s1000111 s1000114 s1000123 s1000136 s1000158 s1000159 s1000197 s1000219 s1000223 s1000224 s1000244 s1000253 s1000254 s1000261 s1000262 s1000283 s1000288 s1000293 s1000298 s1000303 s1000305 s1000334 s1000339 s1000361 s1000382 s1000412 s1000419 s1000434 s1000454 s1000489 s100036 s100050 s100051 s100066 s1000140 s1000148 s1000164 s1000236 s1000255 s1000295 s1000346 s1000366 s1000391 s1000394 s1000396 s100011 s100020 s100063 s1000199 s1000300 s1000390 s1000431 s1000138 s1000327]
PPOL1001, 10, [], []
SOSC2000, 10, [], []
PPOL2011, 96, [s10008 s100010 s100011 s100018 s100022 s100023 s100024 s100025 s100027 s100039 s100054 s100055 s100065 s100071 s100092 s100095 s100097 s1000102 s1000108 s1000109 s1000121 s1000130 s1000134 s1000136 s1000140 s1000142 s1000151 s1000155 s1000158 s1000160 s1000161 s1000162 s1000165 s1000168 s1000174 s1000186 s1000188 s1000194 s1000199 s1000202 s1000205 s1000209 s1000211 s1000219 s1000229 s1000230 s1000246 s1000261 s1000279 s1000281 s1000284 s1000291 s1000293 s1000299 s1000303 s1000308 s1000312 s1000315 s1000321 s1000325 s1000326 s1000328 s1000329 s1000330 s1000333 s1000334 s1000336 s1000345 s1000351 s1000353 s1000358 s1000363 s1000379 s1000381 s1000382 s1000383 s1000387 s1000389 s1000390 s1000395 s1000398 s1000404 s1000416 s1000419 s1000421 s1000426 s1000439 s1000451 s1000452 s1000460 s1000464 s1000465 s1000466 s1000473 s1000478 s1000483], [s10005 s100033 s100038 s100047 s100057 s100075 s100079 s1000100 s1000119 s1000123 s1000138 s1000150 s1000154 s1000190 s1000192 s1000206 s1000221 s1000234 s1000238 s1000242 s1000248 s1000249 s1000251 s1000267 s1000269 s1000278 s1000305 s1000337 s1000352 s1000373 s1000380 s1000440 s1000448 s1000449 s1000459 s1000469 s1000500 s10007 s100015 s100031 s100078 s1000122 s1000131 s1000137 s1000141 s1000144 s1000147 s1000166 s1000200 s1000214 s1000225 s1000250 s1000264 s1000275 s1000313 s1000322 s1000356 s1000413 s1000428 s1000461 s1000470 s1000476 s1000480 s100020 s100059 s100084 s100085 s100088 s100096 s1000101 s1000105 s1000106 s1000107 s1000111 s1000157 s1000159 s1000171 s1000231 s1000244 s1000276 s1000342 s1000414 s1000431 s1000432 s1000456 s1000488 s1000489 s100030 s1000164 s1000223 s1000236 s1000289 s1000444 s1000467 s1000254 s1000283 s1000475 s1000484]
PHYS3010, 10, [], []
